"druglocalcode","drugigrdname"
"Drug2439","Enteral Nutrition Liquid"
"Drug2440","Erythropoietin-a recombinant"
"Drug2441","Amoxicillin + Clavulanic acid"
"Drug2442","Valproate Sodium"
"Drug2443","Follitropin(FSH)"
"Drug2444","Valsartan + Hydrochlorothiazide"
"Drug2445","Vitamine multiple"
"Drug2446","Cytarabine"
"Drug2447","Growth Hormone (Somatropin)"
"Drug2448","Pemetrexed"
"Drug2449","Estrogen 0.625mg + Medroxyprogesterone Acetate 5mg"
"Drug2450","Insulin Human (RI/NPH:30/70)"
"Drug2451","Pravastatin sod."
"Drug2452","BCG strain tice"
"Drug2453","Efonidipine"
"Drug2454","Epinephrine"
"Drug2455","Formoterol fumarate"
"Drug2456","Eltrombopag"
"Drug2457","Salmeterol xinafoate"
"Drug2458","Dihydrocodein+Methyephedrine etc"
"Drug2459","Pantoprazole"
"Drug2460","Nortriptyline"
"Drug2461","Laronidase"
"Drug2462","Hydroxyzine HCl"
"Drug2463","Tretinoin"
"Drug2464","Lomustine (CCNU)"
"Drug2465","Netilmicin sulfate"
"Drug2466","Abiraterone"
"Drug2467","Ondansetron.HCl"
"Drug2468","Ciprofloxacin"
"Drug2469","Mycophenolate Sod"
"Drug2470","Cetirizine.2HCl"
"Drug2471","Vacc. Influenza Virus"
"Drug2472","Benidipine"
"Drug2473","Lomustine (CCNU)"
"Drug2474","Adalimumab"
"Drug2475","Busulfan"
"Drug2476","Choline Alfoscerate"
"Drug2477","Doxorubicin.HCl"
"Drug2478","Hemodialysate"
"Drug2479","Cefazoline Na"
"Drug2480","Methotrexate "
"Drug2481","Ceftazidime"
"Drug2482","Risedronate"
"Drug2483","Lamivudine"
"Drug2484","Nifedipine"
"Drug2485","Rebamipide"
"Drug2486","Pentolamine"
"Drug2487","Pot.Chloride"
"Drug2488","Moexipril"
"Drug2489","Bethanechol chloride"
"Drug2490","Ropinirole"
"Drug2491","Fentanyl citrate"
"Drug2492","Doripenem"
"Drug2493","Triazolam"
"Drug2494","Valproate Sodium"
"Drug2495","Peritoneal dialysate"
"Drug2496","Vancomycin HCl"
"Drug2497","Sulpiride"
"Drug2498","Caroverine HCl+Naphtylacetic acid+Nicotic acid"
"Drug2499","Nicardipine"
"Drug2500","Itraconazole"
"Drug2501","Entecavir"
"Drug2502","Trientine"
"Drug2503","Carboplatin"
"Drug2504","Clenbuterol HCl"
"Drug2505","Sodium picosulfate hydrate+Magnesium oxide(경질)+Citric acid"
"Drug2506","Blonanserin"
"Drug2507","Alcohol Dehydrated"
"Drug2508","Amiodarone.HCl"
"Drug2509","Al(OH)3 1.2g + Mg(OH)2 0.6g"
"Drug2258","Ursodesoxycholic acid"
"Drug2259","Barnidipine HCl"
"Drug2260","Meropenem"
"Drug2261","Entecavir"
"Drug2262","Tranexamic acid"
"Drug2263","Tetracosactrin"
"Drug2264","Mgnesium trihydrate salt of chenodesoxycholic acid & Ursodesoxycholic acid"
"Drug2265","Danazol"
"Drug2266","Hydrocortisone Sodium Succinate "
"Drug2267","Ethinyl estradiol 0.03mg + Gestodene 0.075mg"
"Drug2268","Fentanyl citrate"
"Drug2269","Lamivudine"
"Drug2270","Trimethoprim+Sulfamethoxazole"
"Drug2271","Methylphenidate HCl"
"Drug2272","Leucovorin Calcium"
"Drug2273","Tramadol 37.5mg + Acetaminophen 325mg"
"Drug2274","Blonanserin"
"Drug2275","Propofol"
"Drug2276","Buflomedil Pyridoxal phosphate"
"Drug2277","Ticarcillin Na 1.5g+Clavulanate K 0.1g"
"Drug2278","Fluconazole"
"Drug2279","Cefazedone Sodium"
"Drug2280","Haemophilus influenzae type b"
"Drug2281","Follitropin(FSH)"
"Drug2282","Trientine"
"Drug2283","Somatropin 24IU(8mg)"
"Drug2284","Deferasirox"
"Drug2285","Valsartan"
"Drug2286","Interferon alpha-2b"
"Drug2287","Cefamandol nafate"
"Drug2288","Sod.Chloride 0.9%"
"Drug2289","Histidine,Tryptophan,Ketoglutarate"
"Drug2290","Ganciclovir"
"Drug2291","Sitagliptin 50mg+Metformin HCl 850mg"
"Drug2292","Aprepitant"
"Drug2293","Pancuronium bromide"
"Drug2294",""
"Drug2295","Rivaroxaban"
"Drug2296","Digestive Enzymes"
"Drug2297","Diltiazem"
"Drug2298","Amitriptyline"
"Drug2299","Erythropoietin"
"Drug2300","Clomipramine"
"Drug2301","Loperamide"
"Drug2302","Oxaliplatin"
"Drug2303","Cefpodoxime proxetil"
"Drug2304","Nadroparin Ca"
"Drug2305","Acetaminophen"
"Drug2306","Oxytocin"
"Drug2307","GM-CSF"
"Drug2308","Aztreonam"
"Drug2309","Olanzapine"
"Drug2310","Cimetidine"
"Drug2311","Acetylcysteine"
"Drug2312","Indigocarmine"
"Drug2313","Itraconazole"
"Drug2314","Peritoneal Dialysate"
"Drug2315","Vacc.Hepatitis B"
"Drug2316","Losartan K"
"Drug2317","Cefadroxil monohydrate"
"Drug2318","Pentobarbital sod."
"Drug2319","Hydromorphone HCl 4.36mg"
"Drug2320","Sod.bicarbonate"
"Drug2321","Lactobacillus acidophilus Tyndallized lyophilizate"
"Drug2322","Diltiazem"
"Drug2323","Pancreatin외"
"Drug2324","Peritoneal dialysate"
"Drug2325","Attapulgite + Al(OH)3-MgCO3 co-dried gel"
"Drug2510","Caroverine.HCl"
"Drug2511","Malotilate"
"Drug2512","Vacc. D.T."
"Drug2513","Viscum album (아종 : Abietis)"
"Drug2514","Vacc. Typhoid"
"Drug2515","Rivastigmine"
"Drug2516","Methoxsalen"
"Drug2517","Efavirenz"
"Drug2518","Hydroxyzine.2HCl"
"Drug2519","Potassium Citrate + Citric acid"
"Drug2520","Lactitol Monohydrate"
"Drug2521","Ceftriaxone"
"Drug2522","Oxaliplatin"
"Drug2523","Tacrolimus"
"Drug2524","Nifedipine"
"Drug2525","Leucovorin Calcium"
"Drug2526","Pravastatin sod."
"Drug2527","GM-CSF"
"Drug2528","Simvastatin"
"Drug2529","Ulinastatin"
"Drug2530","Tibolone"
"Drug2531","Estradiol Hemihydrate"
"Drug2532","Oxycodone+Acetaminophen"
"Drug2533","Amrinone"
"Drug2534","Levodropropizine"
"Drug2535","Saccharomyces boulardii 282.5㎎"
"Drug2536","Ρ-Aminomethyl benzoic acid"
"Drug2537","Leflunomide"
"Drug2538","Botulinum toxin type A"
"Drug2539","Phloroglucinol"
"Drug2540","Carumonam Sodium"
"Drug2541","Bambuterol.HCl"
"Drug2122","Erythropoietin-beta recombinant"
"Drug2123","Lomefloxacin HCl"
"Drug2124","Protamine"
"Drug2125","Heparin Sodium"
"Drug2126","Viscum album (아종 : Abietis)"
"Drug2127","Theophylline"
"Drug2128","Vancomycin HCl(PO)"
"Drug2129","Leuprolide acetate (Leuprorelin acetate)"
"Drug2130","Pramipexole"
"Drug2131","Cefotaxime.Na"
"Drug2132","Theophylline"
"Drug2133","Leucovorin Calcium"
"Drug2134","Na2HPO4.7H2O + NaH2PO4.H2O"
"Drug2135","Bromazepam"
"Drug2136","Tobramycin sulfate"
"Drug2137","Cefuroxime Axetile"
"Drug2138","Famotidine"
"Drug2139","Clopidogrel"
"Drug2140","Nimesulide"
"Drug2141","Mitiglinide"
"Drug2142","Daunorubicin HCl"
"Drug2143","Tranilast"
"Drug2144","Megestrol"
"Drug2145","Vitamins + Minerals"
"Drug2146","Peritoneal dialysate"
"Drug2147","Midazolam"
"Drug2148","Digestive Enzymes"
"Drug2149","Darunavir Ethanolate"
"Drug2150","Simvastatin 20mg + Ezetimibe 10mg"
"Drug2151","Cisapride Tartrate"
"Drug2152","Cefuroxime sodium"
"Drug2153","Norepinephrine"
"Drug2326","Voriconazole"
"Drug2327","Benztropine Mesylate"
"Drug2328","Formoterol fumarate"
"Drug2329","Pyridoxine HCl"
"Drug2330","Glucagon"
"Drug2331","Alprazolam"
"Drug2332","Dobutamine HCl"
"Drug2333","Coagulaion factor VIII"
"Drug2334","Follitropin alfa"
"Drug2335","Doxofylline"
"Drug2336","Ecabet Sodium"
"Drug2337","Ibandronate Sod"
"Drug2338","Pravastatin Sod."
"Drug2339","Amosulalol"
"Drug2340","Salmeterol 50mcg + Fluticasone propionate 250mcg/puff"
"Drug2341","Erythropoietin-a recombinant"
"Drug2342","Pentamidine Isethionate"
"Drug2343","Lansoprazole"
"Drug2344","Ranitidine HCl"
"Drug2345","Ferrous aminoacetyl Sulfate + folic acid + cobamamide + pyridoxine"
"Drug2346","Valproic acid(Divalproex Sod)"
"Drug2347","Tiropramide"
"Drug2348","d-alpha-Tocopherol(Vitamin E)"
"Drug2349","Olanzapine"
"Drug2350","Rabeprazole sodium"
"Drug2351","Micronomicin Sulfate"
"Drug2352","Silodosin"
"Drug2353","Streptococcus faecium+Bacillus subtilis"
"Drug2354","Mesalazine"
"Drug2355","Nizatidine"
"Drug2356","Oxycodone HCl 20mg + Naloxone HCl 10mg"
"Drug2357","Ketorolac Tromethamine"
"Drug2358","Insulin lispro+Insulin lispro protamin"
"Drug2359","Methylergometrine"
"Drug2360","Polysaccharide Phellinus Linteus"
"Drug2361","Citicoline"
"Drug2362","Megestrol acetate"
"Drug2363","Immunoglobulin-G(IV)"
"Drug2364","Trimethoprim+Sulfamethoxazole"
"Drug2365","Vinorelbine"
"Drug2366","Clarithromycin"
"Drug2367","5- Fluorouracil"
"Drug2368","Hydroxocobalamin"
"Drug2369","Levodopa+Carbidopa"
"Drug2370","Acebutolol.HCl"
"Drug2371","표준화된 동결건조균체용해물"
"Drug2372","Revaprazan"
"Drug2373","Chloramphenicol sod. succinate"
"Drug2374","Lamivudine 150mg + Zidovudine 300mg"
"Drug2375","Amosulalol"
"Drug2376","Lamotrigine"
"Drug2377","Omeprazole"
"Drug2378","Modafinil"
"Drug2379","Letrozole"
"Drug2380","Tegafur(Futraful)"
"Drug2381","Peritoneal dialysate"
"Drug2382","Vacc.Hepatitis A Virus"
"Drug2383","Naftopidil"
"Drug2384","Vit.A, D, E, B complex"
"Drug2385","Mesalazine"
"Drug2386","Ephedrine HCl."
"Drug2387","Vasopressin-8-L-lysine"
"Drug2388","Heparin Sodium"
"Drug2389","Tolperisone.HCl"
"Drug2390","Triptorelin acetate"
"Drug2391","Carbimazole"
"Drug2392","Vacc.Pneumococcal"
"Drug2393","Varenicline"
"Drug2154","Viscum album (아종 : Abietis)"
"Drug2155","Amoxicillin 1000mg+Sulbactam 500mg"
"Drug2156","Estradiol Valerate + Norgestrel"
"Drug2157","Calcium Carbonate"
"Drug2158","Flunarizine.HCl"
"Drug2159","Valproate Sodium"
"Drug2160","Sodium Citrate 850mg 외 5개"
"Drug2161","Denopamine"
"Drug2162","Valsartan 160mg+Hydrochlorothiazide 12.5mg"
"Drug2163","Cyclophosphamide"
"Drug2164","Nateglinide"
"Drug2165","Nadifloxacin"
"Drug2166","Peritoneal dialysate"
"Drug2167","Paroxetine. HCl"
"Drug2168","Calcium Polycarbophil"
"Drug2169","Mitomycin-C"
"Drug2170","Salcatonin"
"Drug2171","Vacc. Influenza Virus"
"Drug2172","Alcohol dehydrated"
"Drug2173","Dobutamine HCl"
"Drug2174","Viscum album (아종 : Abietis)"
"Drug2175","Phenoxybenzamine HCl"
"Drug2176","Coagulation Fator VII(Eptacog alfa)"
"Drug2177","Chloramphenicol"
"Drug2178","Tiotropium"
"Drug2179","Lactobacillus casei variety rhamnosus"
"Drug2180","Doxazosin mesylate"
"Drug2181","Hydromorphone HCl 2mg"
"Drug2182","Insulin Human (NPH)"
"Drug2183","Peritoneal dialysate"
"Drug2184","Linezolid"
"Drug2185","Cytarabine"
"Drug2186","Cal.citrate 850mg+Cholecalciferol 500unit"
"Drug2187","Pyridoxine.HCl"
"Drug2188","Thiopental Sod"
"Drug2189","Amoxicillin.3H2O"
"Drug2190","Cytarabine"
"Drug2191","Trimebutine+CaCO3+Biodiastase+Scopolamin Ext.+Lipase+Glycyrrhizae+NaHCO3+Al-Mg.silicate"
"Drug2192","Ascorbic acid"
"Drug2193","Methocarbamol"
"Drug2194","Montelukast Sodium"
"Drug2195","Hyaluronate Sodium"
"Drug2196","Doxycycline hyclate"
"Drug2197","Levodopa + Carbidopa + Entacapone"
"Drug2198","Ceftizoxime"
"Drug2199","Alprostadil"
"Drug2200","Viscum Album(Fraxini)"
"Drug2201","Peritoneal dialysate"
"Drug2202","Venlafaxine HCl"
"Drug2203","Acetazolamide Sodium"
"Drug2204","Interferon alpha 2a"
"Drug2205","Ginkgo biloba Ext."
"Drug2206","Cholestyramine resin"
"Drug2207","Darbepoetin-alpha"
"Drug2208","Erythromycin Lactobinate+Colistin Sod.Methanesulfonate"
"Drug2209","Pilocarpine HCl"
"Drug2210","Propofol"
"Drug2211","Tramadol.HCl"
"Drug2212","Alibendol"
"Drug2213","Piroxicam"
"Drug2214","GM-CSF"
"Drug2215","Dacarbazine"
"Drug2216","Tosufloxacin"
"Drug2217","Cefixime"
"Drug2218","Zaltoprofen"
"Drug2219","Lansoprazole"
"Drug2220","Tacrolimus"
"Drug2221","Deflazacort"
"Drug2222","Oxycodone HCl 10mg + Naloxone HCl 5mg"
"Drug2223","Meloxicam"
"Drug2224","Vacc.Hapatitis B"
"Drug2225","Ceftezole Sod"
"Drug2226","Amino acids"
"Drug2227","Codeine Phosphate"
"Drug2228","Ciprofloxacin + Hydrocortisone"
"Drug2229","Fesoterodine fumarate"
"Drug2230","Valaciclovir"
"Drug2231","Nafcillin Sodium"
"Drug2232","Lactitol monohydrate"
"Drug2233","Cisapride"
"Drug2234","Amlodipine 5mg+Valsartan 80mg"
"Drug2235","Antithymocyte Immunoglobulin(horse)"
"Drug2236","Alprostadil"
"Drug2237","Lidocaine HCl"
"Drug2238","Brompheniramine + phenylpropanolamine"
"Drug2239","Repaglinide"
"Drug2240","Vacc.Influenza A(H1N1) Virus"
"Drug2241","Gemifloxacin"
"Drug2242","Doxazosin mesylate"
"Drug2243","Povidone Iodine"
"Drug2244","Cefotiam HCl"
"Drug2245","Acarbose"
"Drug2246","Sibutramine mesylate"
"Drug2247","Domperidone Maleate"
"Drug2248","Bevantolol HCl"
"Drug2249","Valsartan"
"Drug2250","Lidocaine "
"Drug2251","Lidocaine+Epinephrine(1:100,000)"
"Drug2252","Interferon alpha 2a"
"Drug2253","Sildenafil Citrate"
"Drug1986","Paliperidone"
"Drug1987","Fexofenadine"
"Drug1988","Vacc.Hepatitis B"
"Drug1989","Calcium Carbonate 1.5g + Cholecalciferol 400IU"
"Drug1990","Darbepoetin-α"
"Drug1991","Vacc. Influenza Virus"
"Drug1992","Naproxen"
"Drug1993","Tirofiban"
"Drug1994","Abacavir"
"Drug1995","Sulglycotide"
"Drug1996","Human chorionic gonadotropin (HCG)"
"Drug1997","Peritoneal dialysate"
"Drug1998","Vacc. Varicella Zoster"
"Drug1999","Amlodipine 5mg+Losartan K 50mg"
"Drug2000","Estrogen 0.625mg + Medroxyprogesterone Acetate 2.5mg"
"Drug2001","Pyridostigmine bromide"
"Drug2002","Cyclophosphamide"
"Drug2003","Felodipine"
"Drug2004","Biperiden.HCl"
"Drug2005","Finasteride"
"Drug2006","Triprolidine+Pseudoephedrine"
"Drug2007","Haloperidol Decanoate"
"Drug2008","S-Amlodipine Nicotinate"
"Drug2009","Etretinate"
"Drug2010","Teicoplanin"
"Drug2011","Human tetanus immune globulin"
"Drug2012","Lamotrigine"
"Drug2013","Etodolac Micronized"
"Drug2014","Pimozide"
"Drug2015","Irinotecan"
"Drug2016","Mycophenolate Mofetil"
"Drug2017","Follitropin-β"
"Drug2018","Erythropoietin-a recombinant"
"Drug2019","Piperacillin + Tazobactam"
"Drug2020","Tiaprofenic Acid"
"Drug2021","Nitroglycerin"
"Drug2022","Iron acetyl transferrin"
"Drug2023","Calcium Carbonate"
"Drug2024","Enteral Nutrition Liquid"
"Drug2025","Cycloserine"
"Drug2026","Saccharomyces serevisiae"
"Drug2027","Cefoxitin Sodium"
"Drug2028","Methylergometrine"
"Drug2029","Ibudilast"
"Drug2030","Vardenafil"
"Drug2031","Vacc.Pneumococcal"
"Drug2032","Aprotinin"
"Drug2033","Nizatidine"
"Drug2034","Thrombin + Fibrinogen + Aprotinin + Rivoflavin + Collagen"
"Drug2035","Ciprofloxacin"
"Drug2036","Hexoprenaline sulfate"
"Drug2037","Peritoneal dialysate"
"Drug2038","Cinnarizine 20mg+Dimenhydrinate 40mg"
"Drug2039","Terbutaline sulfate"
"Drug2040","Estradiol hemihydrate 1.03mg+ Norethisterone acetate 0.5mg"
"Drug2041","Oxaliplatin"
"Drug2042","Zolpidem"
"Drug2043","Abciximab"
"Drug2044","Sevoflurane"
"Drug2045","Carboplatin"
"Drug2046",""
"Drug2047","Peritoneal dialysate"
"Drug2048","Triamcinolone"
"Drug2049","Ranitidine.HCl"
"Drug2050","Bromocriptine mesylate"
"Drug2051","Indigocarmine"
"Drug2052","Al(OH)3 + Mg(OH)2 + Simethicone"
"Drug2053","Sunitinib malate"
"Drug2054","Nefazodone HCl"
"Drug2055","Progesterone"
"Drug2056","Estrogen Conjugated"
"Drug2057","Ropivacaine"
"Drug2058","Propranolol"
"Drug2059","Dimethylsulfoxide"
"Drug2060","Ceftizoxime Sod"
"Drug2061","Thioctic acid"
"Drug2062","Cytarabine"
"Drug2063","Doxazosin mesylate"
"Drug2064","Sofalcone"
"Drug2065","Propylthiouracil"
"Drug2066","Midazolam"
"Drug2067","Vacc.Influenza A(H1N1) Virus"
"Drug2068","Viscum album (아종 : Mali)"
"Drug2069","Levodopa+Benserazide"
"Drug2070","Cefotaxime Sodium"
"Drug2071","Aspirin (Enteric coated)"
"Drug2072","Prazosin.HCl"
"Drug2073","Sufentanil"
"Drug2074","Peritoneal dialysate"
"Drug2075","Al(OH)3 + Mg(OH)2 + Simethicone"
"Drug2076","Antithrombin Ⅲ"
"Drug2077","Levofloxacin"
"Drug2078","Propofol"
"Drug2079","Atosiban"
"Drug2080","Progesterone"
"Drug2081","Trimethoprim 80mg+Sulfamethoxazole 400mg /5ml/A"
"Drug2254","Etoposide"
"Drug2255","Cefazedone Sod."
"Drug2256","Risedronate sodium 35mg+Cholecalciferol 5600unit"
"Drug2257","Piroxicam"
"Drug1846","Abciximab"
"Drug1847","Moxifloxacin"
"Drug1848","Didanosine"
"Drug1849","Dopamine HCl"
"Drug1850","Mirtazapine"
"Drug1851","Doxorubicin HCl"
"Drug1852","Lansoprazole"
"Drug1853","Capecitabine"
"Drug1854","Labetalol.HCl"
"Drug1855","Cytarabine"
"Drug1856","Mitoxantrone.HCl"
"Drug1857","Erlotinib"
"Drug1858","Sofalcone"
"Drug1859","Carnitine orotate 150mg+Biphenyl dimethyl dicarboxylate 25mg+liver extract antitoxic fraction 12.5mg"
"Drug1860","Human Immunoglobulin-G"
"Drug1861","Tenofovir Disoproxil Fumarate"
"Drug1862","Peritoneal dialysate"
"Drug1863","Vacc.diphtheria + tetanus"
"Drug1864","Viscum Album(Fraxini)"
"Drug1865","Vit.A, D, E, B complex"
"Drug1866","Itopride.HCl"
"Drug1867","Fentanyl citrate"
"Drug1868","FSH(Urofollitrophin)"
"Drug1869","Methylprednisolone"
"Drug1870","Guaiazulene etc"
"Drug1871","Acetaminophen"
"Drug1872","Thioguanine"
"Drug1873","Bethanechol chloride"
"Drug1874","Clonidine HCl"
"Drug1875","Alprostadil (PGE1)"
"Drug1876","Granisetron.HCl"
"Drug1877","Levothyroxine sod."
"Drug1878","Bendazac lysine dihydrate"
"Drug1879","Pentazocin"
"Drug1880","Epinephrine"
"Drug1881","Rufinamide"
"Drug1882","Dasatinib"
"Drug1883","Telbivudine"
"Drug1884","Ozagrel Sodium"
"Drug1885","Propofol"
"Drug1886","GM-CSF"
"Drug1887","Ofloxacin"
"Drug1888","Insulin Human (NPH)"
"Drug1889","Selegiline.HCl"
"Drug1890","Omalizumab"
"Drug1891","Losartan K"
"Drug1892","Quinidine sulfate"
"Drug1893","Vacc.Influenza Virus"
"Drug1894","Cisplatin"
"Drug1895","Didanosine"
"Drug1896","Theobromine"
"Drug1897","Filgrastim (G-CSF)"
"Drug1898","Lipase + Protease + Amylase"
"Drug1899","Ezetimibe 10mg + Simvastatin 40mg"
"Drug1900","Nystatin(100,000U/ml)"
"Drug1901","Celecoxib"
"Drug1902","Cefotetan Disodium"
"Drug1903","Nadroparin Ca"
"Drug1904","Trihexyphenidyl"
"Drug1905","Viscum album (아종 : Abietis)"
"Drug2082","Irbesartan "
"Drug2083","Viscum Album(Quercus)"
"Drug2084","Moexipril"
"Drug2085","Amlodipine 5mg + Olmesartan medoxomil 40mg"
"Drug2086","Vitamin multiple"
"Drug2087","Gelatin MFG "
"Drug2088","Peritoneal dialysate"
"Drug2089","Thioridazine"
"Drug2090","Irinotecan"
"Drug2091","Cytarabine"
"Drug2092","Tacrine.HCl"
"Drug2093","Thrombin + Fibrinogen + Aprotinin + Rivoflavin + Collagen"
"Drug2094","Vacc.Hepatitis B"
"Drug2095","Cetuximab"
"Drug2096","Dioctahedral Smectite"
"Drug2097","Cyclosporine"
"Drug2098","Propranolol.HCl"
"Drug2099","Bortezomib + mannitol"
"Drug2100","Meloxicam"
"Drug2101","Risperidone"
"Drug2102","Estramustine"
"Drug2103","Codeine Phosphate 10mg + Ibuprofen 200mg + Acetminophen 250mg"
"Drug2104","Sitagliptin"
"Drug2105","Albendazole"
"Drug2106","Peritoneal dialysate"
"Drug2107","Meropenem"
"Drug2108","Insulin aspart"
"Drug2109","Insulin Glargine"
"Drug2110","Cefminox sodium"
"Drug2111","Irbesartan 300mg+Hydrochlorothiazide 12.5mg"
"Drug2112","Thioctic acid"
"Drug2113","Ergoloid mesylate"
"Drug2114","Estradiol Valerate + Norgestrel"
"Drug2115","Pranlukast Hydrate"
"Drug2116","Ferrous Sulfate dried"
"Drug2117","Indacaterol"
"Drug2118","Desloratadine"
"Drug2119","Propofol"
"Drug2120","Clindamycin"
"Drug2121","Triprolidine+Pseudoephedrine"
"Drug1705","Disopyramide phos."
"Drug1706","Vacc. DTaP +Vacc. Polio virus"
"Drug1707","Ursodesoxycholic acid"
"Drug1708","Na2HPO4.7H2O + NaH2PO4.H2O"
"Drug1709","Botulinum toxin type A"
"Drug1710","Cefpiramide Sodium"
"Drug1711","Propofol"
"Drug1712","Acyclovir"
"Drug1713","Estradiol Valerate"
"Drug1714","Ondansetron"
"Drug1715","Erythropoietin-αrecombinant"
"Drug1716","Cyclosporine"
"Drug1717","Peritoneal dialysate"
"Drug1718","Lovastatin"
"Drug1719","Omeprazole"
"Drug1720","Naproxen sodium"
"Drug1721","Growth Hormone (Somatropin)"
"Drug1722","Coagulation factor Ⅸ"
"Drug1723","Pancreatin etc"
"Drug1724","Pinaverium bromide"
"Drug1906","Flumazenil"
"Drug1907","Lopinavir + Ritonavir"
"Drug1908","Paclitaxel"
"Drug1909","Insulin glulisine"
"Drug1910","Avanafil 200mg"
"Drug1911","Zoledronic acid"
"Drug1912","Tramadol HCl"
"Drug1913","Viscum Album(Fraxini)"
"Drug1914","Amlodipine besylate"
"Drug1915","Dried human fibrinogen"
"Drug1916","Roxatidine acetate.HCl"
"Drug1917","Alcohol Dehydrated"
"Drug1918","Calcium citrate 1500mg + Cholecalciferol 800unit"
"Drug1919","Saxagliptin"
"Drug1920","Sorafenib"
"Drug1921","Vacc.Influenza Virus"
"Drug1922","Filgrastim (G-CSF)"
"Drug1923","Trimethoprim + Sulfamethoxazole (160+800mg/10ml)"
"Drug1924","Procyclidine"
"Drug1925","Magnesium sulfate"
"Drug1926","Amoxicillin + Clavulanic Acid"
"Drug1927","Citrulline maleate"
"Drug1928","Estrogen Conjugated"
"Drug1929","Aceclofenac"
"Drug1930","Immunoglobulin-G"
"Drug1931","Peritoneal dialysate"
"Drug1932","p-Aminosalicylic acid"
"Drug1933","Lenograstim"
"Drug1934","Nafamostat"
"Drug1935","Quinupristin + Dalfopristin"
"Drug1936","L-Carnitine"
"Drug1937","Erythropoietin-αrecombinant"
"Drug1938","Etoposide"
"Drug1939","FSH+LH"
"Drug1940","Methylphenidate HCl"
"Drug1941","Cefazedone Sodium"
"Drug1942","Dexmedetomidine"
"Drug1943","Fexofenadine"
"Drug1944","Ketotifen Hydrogen fumarate"
"Drug1945","Omega-3-acid ethylester 90"
"Drug1946","Vinorelbine"
"Drug1947","Cefoxitin Sodium"
"Drug1948","Desflurane"
"Drug1949","Risperidone"
"Drug1950","Fluticasone propionate"
"Drug1951","Peritoneal dialysate"
"Drug1952","Dextromethorphan+Methylephedrine etc"
"Drug1953","Sod. bicarbonate"
"Drug1954","Aripiprazole"
"Drug1955","Estrogen Conjugated"
"Drug1956","Dasatinib"
"Drug1957","Vitamins + Minerals"
"Drug1958","Trimethoprim 8mg+Sulfamethoxazole 40mg"
"Drug1959","Baclofen"
"Drug1960","Vacc.Influenza A(H1N1) Virus"
"Drug1961","Vacc. D.P.T (Tdap)"
"Drug1962","Acetylcysteine"
"Drug1963","Simvastatin"
"Drug1964","Heparin Sodium"
"Drug1965","Caroverine.HCl"
"Drug1966","Entanercept"
"Drug1967","Levamisol.HCl"
"Drug1968","Hyoscin"
"Drug1969","Magnesium Oxide"
"Drug1970","Buflomedil Pyridoxal phosphate"
"Drug1971","Alprazolam"
"Drug1972","Paclitaxel"
"Drug1973","Hydralazine.HCl"
"Drug1974","Ibuprofen"
"Drug1975","Toremifene Citrate"
"Drug1976","Thyrotropin Releasing Hormone(T.R.H)"
"Drug1977","Insulin Lispro 50% + Insulin Lispro Protamine 50%"
"Drug1978","Chondroitin Sod. Sulfate"
"Drug1979","Vacc.Influenza A(H1N1) Virus"
"Drug1980","Ipratropium Br"
"Drug1981","Nitroglycerin"
"Drug1982","Morphine Sulfate"
"Drug1983","Vacc. D.T."
"Drug1984","Varenicline"
"Drug1985","Thiotepa"
"Drug1725","Lenograstim"
"Drug1726","Arbekacin"
"Drug1727","Alendronate"
"Drug1728","Amitriptyline"
"Drug1729","Amlodipine 10mg + Valsartan 160mg"
"Drug1730","Streptococcus faecium + Bacillus subtilis"
"Drug1731","Metoclopramide.HCl"
"Drug1732","Coagulation factor Ⅸ"
"Drug1733","Gentamicin sulfate"
"Drug1734","Darbepoetin-alpha"
"Drug1735","Furosemide"
"Drug1736","Trastuzumab"
"Drug1737","Ibandronate Sod"
"Drug1738","Cefpirome sulfate"
"Drug1739","Magnesium Oxide"
"Drug1740","Doxifluridine"
"Drug1741","Risperidone"
"Drug1742","Amoxicillin+Clavulanic acid"
"Drug1743","Nafronyl oxalate"
"Drug1744","Peritoneal dialysate"
"Drug1745","Dolasetron mesylate"
"Drug1746","Remifentanil HCl"
"Drug1747","Telmisartan 40mg + Amlodipine 5mg "
"Drug1748","Pregabalin"
"Drug1749","Ergotamine tartrate+Belladonna alkaloid"
"Drug1750","Mepivacaine HCl"
"Drug1751","Tacalcitol"
"Drug1752","Fentanyl citrate"
"Drug1753","Aceclofenac"
"Drug1754","Clarithromycin"
"Drug1755","Pramipexole"
"Drug1756","Pimozide"
"Drug1757","Acetaminophen"
"Drug1758","Rabeprazole sodium"
"Drug1759","Vacc.Hepatitis B"
"Drug1760","Estradiol + Cyprotenone"
"Drug1761","Fenofibrate(Procetofene)"
"Drug1762","Glycopyrrolate"
"Drug1763","Candesartan"
"Drug1764","Flecainide"
"Drug1765","애엽 95% ethanol ext"
"Drug1766","Amoxicillin"
"Drug1767","Vacc.Influenza Virus,Live,attenuated"
"Drug1768","Aminoacid + Vitamin"
"Drug1769","Micafungin"
"Drug1770","Spectinomycin.HCl"
"Drug1771","Sod.Chloride"
"Drug1772","Duloxetine HCl"
"Drug1773","Ramosetron HCl"
"Drug1774","Ibritumomab"
"Drug1775","Ephedrine.HCl"
"Drug1776","Mesna"
"Drug1777","Propofol"
"Drug1778","Peritoneal dialysate"
